frequency,character,canto,definition,radical,stroke_count,pinyin
278,司,si1,"take charge of, control, manage; officer",口,5,sī
279,五,ng5,five; surname,二,4,wǔ
280,基,gei1,"foundation, base",土,11,jī
281,眼,ngaan5,"eye; eyelet, hole, opening",目,11,yǎn
282,书,syu1 syu1,"book, letter, document; writings",丨,4,shū
283,非,fei1,"not, negative, non-; oppose",非,8,fēi
284,则,zak1 zak1,"rule, law, regulation; grades",刀,6,zé
285,听,ting3 ting3,"hear; understand; obey, comply",口,7,tīng
286,白,baak.6,"white; pure, unblemished; bright",白,5,bái
287,却,koek3,"still, but; decline; retreat",卩,7,què
288,界,gaai3,"boundary, limit; domain; society; the world",田,9,jiè
289,达,daat6,"arrive at, reach; intelligent; smooth, slippery",辵,6,dá
290,光,gwong1,"light, brilliant, shine; only",儿,6,guāng
291,放,fong3,"put, release, free, liberate",攴,8,fàng
292,强,koeng4,"strong, powerful, energetic",弓,12,qiáng
293,即,zik1,"promptly, quickly, immediately",卩,7,jí
294,像,zoeng6,"a picture, image, figure; to resemble",人,13,xiàng
295,难,naan4,"difficult, arduous, hard; unable",又,10,nán
296,且,ce2,"moreover, also (post-subject); about to, will soon (pre-verb)",一,5,qiě
297,权,kyun4,"power, right, authority",木,6,quán
298,思,si1,"think, consider, ponder; final particle",心,9,sī
299,王,wong4,"king, ruler; royal; surname",玉,4,wáng
300,象,zoeng6,"elephant; ivory; figure, image",豕,11,xiàng
301,完,jyun4,"complete, finish, settle; whole",宀,7,wán
302,设,cit3,build; establish; display,言,6,shè
303,式,sik1,"style, system, formula, rule",弋,6,shì
304,色,sik1,"color, tint, hue, shade; form, body; beauty, desire for beauty",色,6,sè
305,路,lou6,"road, path, street; journey",足,13,lù
306,记,gei3,"record; keep in mind, remember",言,5,jì
307,南,naam4,south; southern part; southward,十,9,nán
308,品,ban2,"article, product, commodity",口,9,pǐn
309,住,zyu6,"reside, live at, dwell, lodge; stop",人,7,zhù
310,告,gou3,"tell, announce, inform; accuse",口,7,gào
311,类,leoi6 leoi6,"class, group, kind, category",大,9,lèi
312,求,kau4,"seek; demand, request; beseech",水,7,qiú
313,据,geoi3 geoi3,"to occupy, take possession of; a base, position",手,11,jù
314,程,cing4,"journey, trip; schedule, agenda",禾,12,chéng
315,北,bak.1,north; northern; northward,匕,5,běi
316,边,bian.1,"edge, margin, side, border",辵,5,biān
317,死,sei2,die; dead; death,歹,6,sǐ
318,张,zoeng1 zoeng1,"stretch, extend, expand; sheet",弓,7,zhāng
319,该,goi1,"should, ought to, need to",言,8,gāi
320,交,gaau1,"mix; intersect; exchange, communicate; deliver",亠,6,jiāo
321,规,kwai1,"rules, regulations, customs, law",見,8,guī
322,万,maan6 maan6,ten thousand; innumerable,一,3,wàn
323,取,ceoi2,"take, receive, obtain; select",又,8,qǔ
324,拉,laai1,"pull, drag; seize, hold; lengthen",手,8,lā
325,格,gaak3,"pattern, standard, form; style",木,10,gé
326,望,mong6,"to look at, look forward; to hope, expect",月,11,wàng
327,觉,gok3 gok3,to wake up from sleep; conscious,見,9,jué
328,术,seot6 seot6,"art, skill, special feat; method, technique",木,5,shù
329,领,ling5,"neck; collar; lead, guide",頁,11,lǐng
330,共,gung6,"together with, all, total; to share",八,6,gòng
331,确,kok3,"sure, certain; real, true",石,12,què
332,传,cyun4 cyun4,"summon; propagate, transmit",人,6,chuán
333,师,si1 si1,"teacher, master, specialist",巾,6,shī
334,观,gun1 gun1,"see, observe, view; appearance",見,6,guān
335,清,cing1,"clear, pure, clean; peaceful",水,11,qīng
336,今,gam1,"now, today, modern era",人,4,jīn
337,切,cit3,"cut, mince, slice, carve",刀,4,qiè
338,院,jyun2,"courtyard, yard, court; school",阜,9,yuàn
339,让,joeng6 joeng6,"allow, permit, yield, concede",言,5,ràng
340,识,sik1 sik1,"recognize, understand, know",言,7,shí
341,候,hau6,wait; expect; visit; greet,人,10,hòu
342,带,daai3,"belt, girdle, band, strap, zone",巾,9,dài
343,导,dou6 dou6,"direct, guide, lead, conduct",寸,6,dǎo
344,争,zang1 zang1,"dispute, fight, contend, strive",亅,6,zhēng
345,运,wan6 wan6,run; simplified form of,辵,7,yùn
346,笑,siu3,"smile, laugh, giggle; snicker",竹,10,xiào
347,飞,fei1,fly; go quickly; dart; high,乙,3,fēi
348,风,fung1 fung1,"wind; air; manners, atmosphere",風,4,fēng
349,步,bou6,"step, pace; walk, stroll",止,7,bù
350,改,goi2,"change, alter; improve, remodel",攴,7,gǎi
351,收,sau1,"gather together, collect; harvest",攴,6,shōu
352,根,gan1,"root, base(d on); foundation",木,10,gēn
353,干,gon1,"oppose, offend; invade; dried",干,3,gàn
354,造,zou6,"construct, build, make, begin; prepare",辵,10,zào
355,言,jin4,"words, speech; speak, say",言,7,yán
356,联,lyun4 lyun4,"connect, join; associate, ally",耳,12,lián
357,持,ci4,"sustain, support; hold, grasp",手,9,chí
358,组,zou2,"class; section, department",糸,8,zǔ
359,每,mui5,"every, each",毋,7,měi
360,济,zai3 zai3,"help, aid, relieve; ferry, cross",水,9,jì
361,车,ce1 ce1,"cart, vehicle; carry in cart",車,4,chē
362,亲,can1 can1,"relatives, parents; intimate the hazel nut or filbert tree a thorny tree",立,9,qīn
363,极,gik6,"extreme, utmost, furthest, final",木,7,jí
364,林,lam4,"forest, grove; surname",木,8,lín
365,服,fuk6,"clothes; wear, dress",月,8,fú
366,快,faai3,"rapid, quick, speedy, fast; soon",心,7,kuài
367,办,baan.6,"manage, do, handle; deal with",力,4,bàn
368,议,ji5 ji5,"consult, talk over, discuss",言,5,yì
369,往,wong5,"go, depart; past, formerly",彳,8,wǎng
370,元,jyun4,first; dollar; origin; head,儿,4,yuán
371,英,jing1,"petal, flower, leaf; brave, a hero; England, English",艸,8,yīng
372,士,si6,"scholar, gentleman; soldier",士,3,shì
373,证,zing3 zing3,"prove, confirm, verify; proof",言,7,zhèng
374,近,gan6,"near, close; approach; intimate",辵,7,jìn
375,失,sat1,"lose; make mistake, neglect",大,5,shī
376,转,zyun2 zyun2,"shift, move, turn",車,8,zhuǎn
377,夫,fu1,"man, male adult, husband; those",大,4,fū
378,令,ling6,,人,5,lìng
379,准,zeon2 zeon2,"approve, allow, permit; in accord",冫,10,zhǔn
380,布,bou3,"cotton cloth, textiles, linen",巾,5,bù
381,始,ci2,"begin, start; then, only then",女,8,shǐ
382,怎,zam2,what? why? how?,心,9,zěn
383,呢,ne1,interrogative or emphatic final; (Cant.) this,口,8,ne
384,存,cyun4,"exist, live, be; survive; remain",子,6,cún
385,未,mei6,not yet; 8th terrestrial branch,木,5,wèi
386,远,jyun5,"distant, remote, far; profound",辵,7,yuǎn
387,叫,giu3,"cry, shout; hail, greet, call",口,5,jiào
388,台,toi4,platform; unit; term of address,口,5,tái
389,单,daan1,"single, individual, only; lone",八,8,dān
390,影,jing2,"shadow; image, reflection; photograph",彡,15,yǐng
391,具,geoi6,"tool, implement; draw up, write",八,8,jù
392,罗,lo4,net for catching birds; gauze,网,8,luō
393,字,zi6,"letter, character, word",子,6,zì
394,爱,oi.3,"love, be fond of, like",爪,10,ài
395,击,gik1 gik1,"strike, hit, beat; attack, fight",凵,5,jī
396,流,lau4,"flow, circulate, drift; class",水,10,liú
397,备,bei.6,"prepare, ready, perfect",夂,8,bèi
398,兵,bing.1,"soldier, troops",八,7,bīng
399,连,lin4 lin4,"join, connect; continuous; even",辵,7,lián
400,调,diu6 diu6,"transfer, move, change; tune",言,10,diào
401,深,sam1,"deep; depth; far; very, extreme",水,11,shēn
402,商,soeng1,"commerce, business, trade",口,11,shāng
403,算,syun3,"count, calculate, figure; plan",竹,14,suàn
404,质,zat1,"matter, material, substance",厂,8,zhì
405,团,tyun4 tyun4,"sphere, ball, circle; mass, lump",囗,6,tuán
406,集,zaap6,"assemble, collect together",隹,12,jí
407,百,baak.3,"one hundred; numerous, many",白,6,bǎi
408,需,seoi1,"need, require, must",雨,14,xū
409,价,gaa3 gaa3,"price, value",人,6,jià
410,花,faa1,flower; blossoms,艸,7,huā
411,党,dong2 dong2,"political party, gang, faction",儿,10,dǎng
412,华,waa4 waa4,flowery; illustrious; Chinese,十,6,huá
413,城,sing4,"castle; city, town; municipality",土,9,chéng
414,石,sek6,"stone, rock, mineral; rad. 112",石,5,shí
415,级,kap1,"level, rank, class; grade",糸,6,jí
416,整,zing2,"orderly, neat, tidy; whole",攴,16,zhěng
417,府,fu2,prefecture; prefect; government,广,8,fǔ
418,离,lei4,rare beast; strange; elegant,禸,10,lí
419,况,fong3,"condition, situation; furthermore",冫,7,kuàng
